ID,song,song_poplarity,artist,albm,albm_cover,artist_poplarity,genre
1,I Ain't Worried,95,OneRepblic,"I Aint Worried (Msic From The Motion Pictre ""Top Gn: Maverick"")",https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,84,pop
2,Left and Right (Feat. Jng Kook of BTS),94,Charlie Pth,Left and Right (Feat. Jng Kook of BTS),https://i.scdn.co/image/ab67616d0000b2731c069c836dc6cd5b34c310fe,83,pop
3,As It Was,93,Harry Styles,Harry's Hose,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,91,pop
4,nder The Inflence,93,Chris Brown,Indigo (Extended),https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,87,pop
5,Late Night Talking,93,Harry Styles,Harry's Hose,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,91,pop
6,Jimmy Cooks (feat. 21 Savage),91,Drake,"Honestly, Nevermind",https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,95,hiphop
7,Bad Decisions (with BTS & Snoop Dogg),91,benny blanco,Bad Decisions (with BTS & Snoop Dogg),https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f,77,pop
8,I'm Good (Ble),91,David Getta,I'm Good (Ble),https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,87,pop
9,Sweater Weather,91,The Neighborhood,I Love Yo.,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,83,pop
10,Jimmy Cooks (feat. 21 Savage),91,Drake,"Honestly, Nevermind",https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,95,pop
11,Ferrari,91,James Hype,Ferrari,https://i.scdn.co/image/ab67616d0000b2736cc861b5c9c7cdef61b010b4,75,electronic
12,Dandelions,90,Rth B.,Safe Haven,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,75,pop
13,One Kiss (with Da Lipa),90,Calvin Harris,One Kiss (with Da Lipa),https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,85,pop
14,Vegas (From the Original Motion Pictre Sondtrack ELVIS),90,Doja Cat,Vegas (From the Original Motion Pictre Sondtrack ELVIS),https://i.scdn.co/image/ab67616d0000b27329e2914af6e83df7e963d365,88,pop
15,MIDDLE OF THE NIGHT,90,Elley Dh,MIDDLE OF THE NIGHT,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,75,pop
16,One Kiss (with Da Lipa),90,Calvin Harris,One Kiss (with Da Lipa),https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,85,electronic
17,traitor,89,Olivia Rodrigo,SOR,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,85,pop
18,Where Are Yo Now,89,Lost Freqencies,Where Are Yo Now,https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b,77,pop
19,Ghost,89,Jstin Bieber,Jstice,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,90,pop
20,Bad Habits,89,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,90,pop
21,Woman,89,Doja Cat,Planet Her,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,88,pop
22,Happier Than Ever,88,Billie Eilish,Happier Than Ever,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,88,pop
23,Shivers,88,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,90,pop
24,Yellow,88,Coldplay,Parachtes,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,88,pop
25,good 4 ,88,Olivia Rodrigo,SOR,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,85,pop
26,No Role Modelz,87,J. Cole,2014 Forest Hills Drive,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,85,hiphop
27,Withot Me,87,Eminem,The Eminem Show,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,90,hiphop
28,Nmb,87,Marshmello,Nmb,https://i.scdn.co/image/ab67616d0000b2732ff34dbc50313f8cea7b5db5,83,pop
29,Night Changes,87,One Direction,FOR (Delxe),https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,84,pop
30,Dont Blame Me,87,Taylor Swift,reptation,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,94,pop
31,THE SHADE,87,Rex Orange Conty,WHO CARES?,https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0,80,pop
32,The Real Slim Shady,86,Eminem,The Marshall Mathers LP,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,90,hiphop
33,There's Nothing Holdin' Me Back,86,Shawn Mendes,Illminate (Delxe),https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,84,pop
34,Someone Yo Loved,86,Lewis Capaldi,Divinely ninspired To A Hellish Extent,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,78,pop
35,Heather,86,Conan Gray,Kid Krow,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,81,pop
36,Infinity,86,Jaymes Yong,Feel Something,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f,71,pop
37,STAY (with Jstin Bieber),86,The Kid LAROI,F*CK LOVE 3: OVER YO,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,82,pop
38,Boyfriend,86,Dove Cameron,Boyfriend,https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc,73,pop
39,In The Stars,86,Benson Boone,In The Stars,https://i.scdn.co/image/ab67616d0000b273786e4e2c43c2897fafabbfb6,72,pop
40,The Motto,86,Ti«sto,The Motto,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,82,pop
41,agst,86,Taylor Swift,folklore,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,94,pop
42,ALIEN SPERSTAR,86,Beyonc,RENAISSANCE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,pop
43,Crazy What Love Can Do,86,David Getta,Crazy What Love Can Do,https://i.scdn.co/image/ab67616d0000b273654c0a1cb2c30dd8e11c0186,87,pop
44,Peaches (feat. Daniel Caesar & Giveon),86,Jstin Bieber,Jstice,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,90,pop
45,Softcore,86,The Neighborhood,Hard To Imagine The Neighborhood Ever Changing,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,83,pop
46,Me Fi de Vacaciones,86,Bad Bnny,n Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,100,reggae
47,Every Breath Yo Take,86,The Police,Synchronicity (Remastered 2003),https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,74,rock
48,Mr. Brightside,86,The Killers,Hot Fss,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,77,rock
49,The Motto,86,Ti«sto,The Motto,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,82,electronic
50,Gangsta's Paradise,85,Coolio,Gangsta's Paradise,https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,68,hiphop
51,positions,85,Ariana Grande,Positions,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,88,pop
52,Levitating (feat. DaBaby),85,Da Lipa,Ftre Nostalgia,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,88,pop
53,Words (feat. Zara Larsson),85,Alesso,Words (feat. Zara Larsson),https://i.scdn.co/image/ab67616d0000b2738f9c368d8d0f5792ffc5d38e,76,pop
54,Wait a Minte!,85,WILLOW,ARDIPITHECS,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,76,pop
55,Wake Me p,85,Avicii,TRE,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,80,pop
56,Die For Yo,85,The Weeknd,Starboy,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,93,pop
57,Leave Before Yo Love Me (with Jonas Brothers),85,Marshmello,Leave Before Yo Love Me,https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce,83,pop
58,everything i wanted,85,Billie Eilish,everything i wanted,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,88,pop
59,The Nights,85,Avicii,The Days / Nights,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,80,pop
60,Blank Space,85,Taylor Swift,1989 (Delxe),https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,94,pop
71,Let Me Down Slowly,84,Alec Benjamin,Narrated For Yo,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,76,pop
72,All of Me,84,John Legend,Love In The Ftre (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,77,pop
73,Lost,84,Frank Ocean,channel ORANGE,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,82,pop
74,goosebmps,84,Travis Scott,Birds In The Trap Sing McKnight,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,87,pop
75,Me and Yor Mama,84,Childish Gambino,"""Awaken, My Love!""",https://i.scdn.co/image/ab67616d0000b273f78c98bbf2b3c9e2a764203e,78,pop
76,Billie Jean,84,Michael Jackson,Thriller 25 Sper Delxe Edition,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,81,pop
77,Closer,84,The Chainsmokers,Closer,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,80,pop
78,Memories,84,Maroon 5,JORDI (Delxe),https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,85,pop
79,CFF IT,84,Beyonc,RENAISSANCE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,pop
80,Back In Black,84,AC/DC,Back In Black,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,80,rock
81,Creep,84,Radiohead,Pablo Honey,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,78,rock
82,Livin' On A Prayer,84,Bon Jovi,Slippery When Wet,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,77,rock
83,Stressed Ot,84,Twenty One Pilots,Blrryface,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,80,rock
84,Highway to Hell,84,AC/DC,Highway to Hell,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,80,rock
85,21 Reasons (feat. Ella Henderson),84,Nathan Dawe,21 Reasons (feat. Ella Henderson),https://i.scdn.co/image/ab67616d0000b273ef126ba9057607d88e103904,68,electronic
86,Where Did Yo Go? (feat. MNEK),84,Jax Jones,Where Did Yo Go (feat. MNEK),https://i.scdn.co/image/ab67616d0000b273490a887b85a95378ea66b41d,75,electronic
87,Still D.R.E.,83,Dr. Dre,2001,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,78,hiphop
88,Empire State Of Mind,83,JAY-Z,The Bleprint 3,https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10,83,hiphop
89,Godzilla (feat. Jice WRLD),83,Eminem,Msic To Be Mrdered By,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,90,hiphop
90,Wet Dreamz,83,J. Cole,2014 Forest Hills Drive,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,85,hiphop
91,Bam Bam (feat. Ed Sheeran),83,Camila Cabello,Familia,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,82,pop
92,ptown Fnk (feat. Brno Mars),83,Mark Ronson,ptown Special,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,74,pop
93,Let Me Love Yo,83,DJ Snake,Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,77,pop
94,BREAK MY SOL,83,Beyonc,RENAISSANCE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,pop
95,Heartbreak Anniversary,83,Giveon,TAKE TIME,https://i.scdn.co/image/ab67616d0000b27318ff322fcdd47c9400872da6,80,pop
96,Better Days (NEIKED x Mae Mller x Polo G),83,NEIKED,Better Days (NEIKED x Mae Mller x Polo G),https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf,68,pop
97,Take Me To Chrch,83,Hozier,Hozier,https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b,76,pop
98,Swim,83,Chase Atlantic,Chase Atlantic,https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6,78,pop
99,we fell in love in october,83,girl in red,we fell in love in october / forget her,https://i.scdn.co/image/ab67616d0000b273eb13fbc012815ea6e834e842,75,pop
100,Moth To A Flame (with The Weeknd),83,Swedish Hose Mafia,Paradise Again,https://i.scdn.co/image/ab67616d0000b273bd6f8ac82dc5fe1028c14f7d,76,pop
101,Bad Memories (feat. Elley Dh & FAST BOY),83,MEDZA,Bad Memories (feat. Elley Dh & FAST BOY),https://i.scdn.co/image/ab67616d0000b27320abd13bf81d8ee406827c38,75,pop
102,20 Min,83,Lil zi Vert,Lv Is Rage 2 (Delxe),https://i.scdn.co/image/ab67616d0000b2730d5a84e4e47399d2726c330c,85,pop
103,No Lie,83,Sean Pal,Mad Love The Preqel,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c,79,pop
104,yo broke me first,83,Tate McRae,yo broke me first,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4,78,pop
105,7 rings,83,Ariana Grande,"thank , next",https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,88,pop
106,Car's Otside,83,James Arthr,YO,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,79,pop
107,What Makes Yo Beatifl,83,One Direction,p All Night,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,84,pop
108,Thosand Miles,83,The Kid LAROI,Thosand Miles,https://i.scdn.co/image/ab67616d0000b27386322307ddfb6e9c87b82d39,82,pop
109,Treat Yo Better,83,Shawn Mendes,Illminate,https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b,84,pop
110,Levitating,83,Da Lipa,Ftre Nostalgia,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,88,pop
