song,song_popularity,artist,album,album_cover,artist_popularity,genre
La Grange - 2005 Remaster,76,ZZ Top,Tres Hombres (Expanded 2006 Remaster),https://i.scdn.co/image/ab67616d0000b2730fe2ec86a0ec561ef2e2aae1,68,blues
Johnny B. Goode,75,Chuck Berry,Berry Is On Top,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157,64,blues
Layla,74,Derek & The Dominos,Layla And Other Assorted Love Songs (Remastered 2010),https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc,59,blues
River,73,Leon Bridges,Coming Home (Deluxe),https://i.scdn.co/image/ab67616d0000b273a8df0c930a741d6f49cc3f8d,71,blues
I'd Rather Go Blind,70,Etta James,Tell Mama,https://i.scdn.co/image/ab67616d0000b2737649604d1b27be1c78c466e9,65,blues
Cold Little Heart - Radio Edit,69,Michael Kiwanuka,Cold Little Heart (Radio Edit),https://i.scdn.co/image/ab67616d0000b273d38e121683bc208a4530fb22,64,blues
Green Onions,69,Booker T. & the M.G.'s,Green Onions,https://i.scdn.co/image/ab67616d0000b27346007ceff2f1c33c9b9ec19c,55,blues
Still Got The Blues,68,Gary Moore,Still Got The Blues,https://i.scdn.co/image/ab67616d0000b273b586fc87d8bde3ba953f233a,59,blues
Pride and Joy,66,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,61,blues
After Midnight,65,J.J. Cale,Naturally,https://i.scdn.co/image/ab67616d0000b27336f87f70bd74db7f54652179,60,blues
I'd Love to Change the World - 2004 Remaster,65,Ten Years After,A Space in Time (Deluxe Version),https://i.scdn.co/image/ab67616d0000b2734aa7956a8d5742ac762699b2,51,blues
Boom Boom,63,John Lee Hooker,Burnin',https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,57,blues
Everybody Needs Somebody to Love,63,The Blues Brothers,The Blues Brothers Original Motion Picture Soundtrack,https://i.scdn.co/image/ab67616d0000b2739a88a61e9fb51cce727b0f52,55,blues
Rocky Mountain Way,63,Joe Walsh,"The Smoker You Drink, The Player You Get",https://i.scdn.co/image/ab67616d0000b2732df4d3c8c429700194bc0dfe,57,blues
